stim_on_time_ms,stim_off_time_ms,stim_on_delay_ms,stimulus_size_degrees,fixation_window_size_degrees,fixation_point_size_degrees,stim_id,stim_current,stimulus_presented,fixation_correct,stimulus_order_in_trial,samp_on_us,photodiode_on_us
100.0,100.0,300.0,8,2,0.2,a-028,24,83,1,8,627187600,627192300
100.0,100.0,300.0,8,2,0.2,a-000,32,84,1,1,634949350,634964400
100.0,100.0,300.0,8,2,0.2,a-022,32,85,1,2,635282850,635285150
100.0,100.0,300.0,8,2,0.2,a-024,8,86,1,3,635616950,635604500
100.0,100.0,300.0,8,2,0.2,d-000,4,87,1,4,635950200,635957400
100.0,100.0,300.0,8,2,0.2,d-010,32,88,1,5,636283450,636277300
100.0,100.0,300.0,8,2,0.2,a-031,48,89,1,6,636616800,636607250
100.0,100.0,300.0,8,2,0.2,a-016,4,90,1,7,636949900,636954750
100.0,100.0,300.0,8,2,0.2,d-018,32,91,1,8,637282600,637273500
100.0,100.0,300.0,8,2,0.2,d-016,24,92,1,1,648237750,648227950
100.0,100.0,300.0,8,2,0.2,b-031,4,93,1,2,648572800,648579100
100.0,100.0,300.0,8,2,0.2,a-028,4,94,1,3,648908750,648899600
100.0,100.0,300.0,8,2,0.2,a-024,32,95,1,4,649239250,649226300
100.0,100.0,300.0,8,2,0.2,d-000,8,96,1,5,649575350,649572000
100.0,100.0,300.0,8,2,0.2,d-010,40,97,1,6,649908150,649904350
100.0,100.0,300.0,8,2,0.2,d-008,40,98,1,7,650240250,650243150
100.0,100.0,300.0,8,2,0.2,a-022,16,99,1,8,650574200,650564550
100.0,100.0,300.0,8,2,0.2,a-031,16,100,1,1,665620100,665632000
100.0,100.0,300.0,8,2,0.2,d-025,48,101,1,2,665954600,665953800
100.0,100.0,300.0,8,2,0.2,a-000,40,102,1,3,666286350,666273650
100.0,100.0,300.0,8,2,0.2,b-000,4,104,1,5,666955850,666944050
100.0,100.0,300.0,8,2,0.2,a-016,16,105,1,6,667287450,667296800
100.0,100.0,300.0,8,2,0.2,d-016,32,1,1,7,667622000,667616850
100.0,100.0,300.0,8,2,0.2,d-018,24,2,1,8,667954800,667940650
100.0,100.0,300.0,8,2,0.2,d-000,48,3,1,1,675611300,675593000
100.0,100.0,300.0,8,2,0.2,a-031,24,4,1,2,675944300,675944550
100.0,100.0,300.0,8,2,0.2,d-008,8,5,1,3,676265300,676263900
100.0,100.0,300.0,8,2,0.2,d-010,4,6,1,4,676598600,676584300
100.0,100.0,300.0,8,2,0.2,d-005,24,7,1,5,676931900,676935800
100.0,100.0,300.0,8,2,0.2,a-000,24,8,1,6,677266400,677258850
100.0,100.0,300.0,8,2,0.2,a-016,32,9,1,7,677599600,677614400
